id,name,city,latitude,longitude
200116,SIMON FRASER,BURNABY,49.28,-122.92
200117,BINGHAM PUMPS,BURNABY,49.25,-122.94
200118,COMO LAKE,COQUITLAM,49.26,-122.8
200119,TAP200119,SURREY,49.12,-122.81
200120,SURREY,SURREY,49.1,-122.83
200121,NICOMEKL,SURREY,49.06,-122.8
200122,TAP200122,SURREY,49.13,-122.83
200123,WALTERS,NORTH VANCOUVER DISTRICT,49.31,-123.03
200124,NEXEN CHEMICALS,NORTH VANCOUVER DISTRICT,49.3,-123.02
200125,DEEP COVE,NORTH VANCOUVER DISTRICT,49.31,-122.99
200126,TAP200126,NORTH VANCOUVER,49.31,-123.05
200127,SASK WHEAT POOL,NORTH VANCOUVER,49.31,-123.07
200128,NORTH VANCOUVER,NORTH VANCOUVER,49.31,-123.06
200129,LYNN VALLEY,NORTH VANCOUVER DISTRICT,49.33,-123.04
200130,NORGATE,NORTH VANCOUVER DISTRICT,49.32,-123.12
200131,CAPILANO,NORTH VANCOUVER DISTRICT,49.33,-123.11
200132,JOHN LAWSON,WEST VANCOUVER,49.33,-123.16
200133,CYPRESS,NOT AVAILABLE,49.36,-123.23
200134,HILLCREST,WEST VANCOUVER,49.35,-123.21
200135,CAPILANO PUMPS TAP,WEST VANCOUVER,49.36,-123.12
200136,GLENMORE,WEST VANCOUVER,49.36,-123.13
200137,HORSESHOE BAY,WEST VANCOUVER,49.36,-123.28
200143,MISSION,MISSION,49.14,-122.32
200144,BALFOUR,NOT AVAILABLE,49.1,-122.58
200145,GLOUCESTER,NOT AVAILABLE,49.11,-122.47
200146,TAP200146,NOT AVAILABLE,49.16,-122.56
200147,TAP200147,NOT AVAILABLE,49.13,-122.56
200138,BURRARD THERMAL,IOCO,49.3,-122.89
200139,IOCO,IOCO,49.31,-122.88
200140,BUNTZEN NO. 1,NOT AVAILABLE,49.38,-122.87
200141,STAVE FALLS,NOT AVAILABLE,49.23,-122.35
200148,UNKNOWN200148,LANGLEY TWP,49.18,-122.65
200149,CLAYBURN,NOT AVAILABLE,49.07,-122.3
200150,ABBOTSFORD,ABBOTSFORD,49.06,-122.29
200151,MALASPINA,NOT AVAILABLE,49.67,-123.96
200152,GRIEF POINT,POWELL RIVER,49.81,-124.51
200153,UNKNOWN200153,NOT AVAILABLE,49.59,-124.36
200154,SALTERY BAY,NOT AVAILABLE,49.79,-124.18
200142,ALOUETTE,NOT AVAILABLE,49.37,-122.31
200155,POWELL,NOT AVAILABLE,49.88,-124.55
200156,TAP200156,NOT AVAILABLE,49.82,-124.47
200157,SECHELT,NOT AVAILABLE,49.48,-123.75
200158,CLOWHOM,NOT AVAILABLE,49.71,-123.53
200159,GIBSONS,NOT AVAILABLE,49.41,-123.51
200160,HOWE SOUND PULP,NOT AVAILABLE,49.52,-123.49
200161,CHEEKYE,NOT AVAILABLE,49.79,-123.16
200162,SQUAMISH,SQUAMISH,49.7,-123.15
200163,CHEAKAMUS GS,NOT AVAILABLE,49.93,-123.29
200164,FUNCTION JUNCTION,NOT AVAILABLE,50.09,-123.04
200165,RAINBOW,NOT AVAILABLE,50.13,-122.95
200166,BRIDGE RIVER,NOT AVAILABLE,50.72,-122.25
200167,LA JOIE,NOT AVAILABLE,50.84,-122.86
200168,ATCHELITZ,NOT AVAILABLE,49.11,-122.01
200169,TRANS MOUNTAIN,NOT AVAILABLE,49.06,-122.16
200170,TAP200170,NOT AVAILABLE,49.06,-122.08
200171,CHILLIWICK,CHILLIWACK,49.17,-121.96
200172,TAP200172,NOT AVAILABLE,49.15,-121.96
200173,ROSEDALE,NOT AVAILABLE,49.18,-121.78
200174,KENT,NOT AVAILABLE,49.25,-121.78
200175,WAHLEACH,NOT AVAILABLE,49.24,-121.68
200176,TAP200176,NOT AVAILABLE,49.32,-121.66
200177,HOPE,NOT AVAILABLE,49.38,-121.43
200178,TAP200178,NOT AVAILABLE,49.39,-121.46
200179,BOSTON BAR,NOT AVAILABLE,49.86,-121.44
200180,KELLY LAKE,NOT AVAILABLE,51.02,-121.74
200181,SETON LAKE,NOT AVAILABLE,50.67,-121.92
200182,WALDEN NORTH GENERATION STATION,NOT AVAILABLE,50.66,-121.98
200183,SODA CREEK,NOT AVAILABLE,52.31,-122.22
200184,WILLIAMS LAKE,WILLIAMS LAKE,52.13,-122.14
200185,N.W. ENERGY,NOT AVAILABLE,52.16,-122.17
200186,WELDWOOD,NOT AVAILABLE,52.15,-122.17
200187,100 MILE HOUSE,NOT AVAILABLE,51.66,-121.29
200188,CARQUILLE,NOT AVAILABLE,50.89,-121.4
200189,MOUNT POLLEY,NOT AVAILABLE,52.54,-121.63
200190,TAP200190,NOT AVAILABLE,52.43,-122.3
200191,GIBRALTER (CUST),NOT AVAILABLE,52.53,-122.28
200192,TAP200192,NOT AVAILABLE,52.51,-122.42
200193,RED BLUFF,QUESNEL,52.98,-122.47
200194,UNKNOWN200194,NOT AVAILABLE,52.97,-122.46
200195,BARLOW,NOT AVAILABLE,53.02,-122.43
200196,TAP200196,NOT AVAILABLE,52.95,-122.47
200197,QUESNEL,NOT AVAILABLE,53.0,-122.5
200198,WEST PINE,NOT AVAILABLE,53.01,-122.52
200199,WILLISTON,NOT AVAILABLE,53.85,-122.61
200200,UNKNOWN200200,NOT AVAILABLE,53.85,-122.63
200201,PINEVIEW,NOT AVAILABLE,53.85,-122.7
200202,BEAVERLEY,NOT AVAILABLE,53.84,-122.83
200203,PATRICIA,PRINCE GEORGE,53.9,-122.77
200204,FOOTHILLS,NOT AVAILABLE,53.91,-122.81
200205,TAP200205,PRINCE GEORGE,53.9,-122.8
200206,CHIEF,NOT AVAILABLE,54.01,-122.81
200207,CANREED,NOT AVAILABLE,53.93,-122.69
200208,PG PULP,NOT AVAILABLE,53.92,-122.69
200209,TAP200209,NOT AVAILABLE,53.92,-122.69
200210,PGG - PRINCE G,NOT AVAILABLE,53.91,-122.71
200211,FMC,NOT AVAILABLE,53.93,-122.71
200212,TAP200212,NOT AVAILABLE,53.89,-122.74
200213,NORTHWOOD (CUST),NOT AVAILABLE,53.98,-122.7
200214,UPPER FRASER,NOT AVAILABLE,54.12,-121.95
200215,VANDERHOOF,NOT AVAILABLE,54.01,-124.01
200216,TACHICK,NOT AVAILABLE,54.0,-124.07
200217,TAKLA FOREST,NOT AVAILABLE,54.47,-124.17
200218,UNKNOWN200218,NOT AVAILABLE,54.03,-124.34
200219,GLENANNAN,NOT AVAILABLE,54.07,-125.01
200220,ENDAKO (CUST),NOT AVAILABLE,54.04,-125.1
200221,TAP200221,NOT AVAILABLE,54.26,-125.75
200222,BURNS LAKE,NOT AVAILABLE,54.24,-125.76
200223,TOPLEY,NOT AVAILABLE,54.52,-126.29
200224,BABINE LAKE,NOT AVAILABLE,54.88,-126.2
200225,HOUSTON,NOT AVAILABLE,54.39,-126.67
200226,TELKWA,NOT AVAILABLE,54.52,-126.77
200227,SMITHERS,NOT AVAILABLE,54.77,-127.15
200228,HAZELTON,NOT AVAILABLE,55.24,-127.62
200229,SKEENA,NOT AVAILABLE,54.45,-128.63
200230,TERRACE,NOT AVAILABLE,54.51,-128.56
200231,KALUM,TERRACE,54.52,-128.62
200232,MINETTE,NOT AVAILABLE,54.03,-128.71
200233,KITIMAT,NOT AVAILABLE,54.01,-128.71
200234,METHANEX,NOT AVAILABLE,54.03,-128.69
200235,EUROCAN,NOT AVAILABLE,54.04,-128.7
200236,PRINCE RUPERT,NOT AVAILABLE,54.26,-130.23
200237,OLDFIELD,PRINCE RUPERT,54.31,-130.31
200238,RIDLEY COAL,NOT AVAILABLE,54.23,-130.33
200239,SKEENA CELLULOSE,NOT AVAILABLE,54.24,-130.29
200240,PORT EWARDS,NOT AVAILABLE,54.23,-130.28
200241,TAP200241,NOT AVAILABLE,54.24,-130.27
200242,TAP200242,NOT AVAILABLE,54.24,-130.28
200243,SKEENA RIVER CROSSING,NOT AVAILABLE,54.19,-129.9
200244,FALLS RIVER,NOT AVAILABLE,53.98,-129.73
200245,AIYANSH,NOT AVAILABLE,55.28,-128.99
200246,AMAX MINES,NOT AVAILABLE,55.43,-129.43
200247,TAP200247,NOT AVAILABLE,55.44,-129.43
200248,STEWART,STEWART,55.95,-129.98
200249,TAP200249,NOT AVAILABLE,56.11,-129.38
200250,FORT NELSON,NOT AVAILABLE,58.65,-122.69
200251,WESCUP,NOT AVAILABLE,58.72,-122.7
200252,TAP200252,NOT AVAILABLE,54.43,-122.6
200253,KENNEDY,NOT AVAILABLE,55.07,-122.79
200254,SALMON VALLEY,NOT AVAILABLE,54.14,-122.62
200260,PORTAGE PASS TAP,NOT AVAILABLE,56.02,-122.09
200261,TAP200261,NOT AVAILABLE,56.3,-121.19
200262,FOX CREEK,NOT AVAILABLE,56.68,-120.97
200263,FORT ST. JOHN,NOT AVAILABLE,56.23,-120.82
200264,TAYLOR,NOT AVAILABLE,56.18,-120.72
200255,MORFEE,NOT AVAILABLE,55.32,-123.11
200256,FLETCHER CHALLENGE,NOT AVAILABLE,55.3,-123.16
200257,FINLAY FOREST IND.,NOT AVAILABLE,55.34,-123.18
200258,G.M. SHRUM,NOT AVAILABLE,56.01,-122.2
200265,TEXACO,NOT AVAILABLE,56.34,-120.14
