outageId,outageGisId,outageRegionId,outageMunicipality,outageArea,outageCause,numCustomersOut,crewEta,dateServiceOut,dateServiceRestored,estDateServiceRestored,crewEtr,outageLastUpdated,outageRegionName,outageLatitude,outageLongitude,nearestSubstationId,outageToSubstationDistance,substationName,substationCity,typeOfSubstation,statusOfSubstation,substationLatitude,substationLongitude
2532988,2506939.0,1812901382,Saanich,4800 block TOWNSEND DR,Planned work being done on our equipment,6,2025-01-02 19:45:00+00:00,2025-01-02 19:42:01+00:00,2025-01-02 20:47:17+00:00,2025-01-02 21:00:00+00:00,2025-01-02 21:00:00+00:00,2025-01-02 19:43:21+00:00,South VI,48.512564,-123.404727,200061,2.749792927676365,GOWARD,NOT AVAILABLE,SUBSTATION,IN SERVICE,48.49,-123.42
2532993,2506944.0,725364552,Salmon Arm,2900 - 3000 block BROCKMAN RD,Planned work being done on our equipment,6,2025-01-02 20:05:00+00:00,2025-01-02 20:01:02+00:00,2025-01-02 21:32:38+00:00,2025-01-02 21:30:00+00:00,2025-01-02 21:30:00+00:00,2025-01-02 20:19:06+00:00,Thompson/Shuswap,50.479274,-119.365635,200300,24.813181894007542,SALMON ARM,NOT AVAILABLE,SUBSTATION,IN SERVICE,50.69,-119.25
2533004,2506955.0,521980323,Abbotsford,2000 block GLADWIN RD,Planned work being done on our equipment,6,2025-01-02 21:35:00+00:00,2025-01-02 21:32:04+00:00,2025-01-02 22:09:27+00:00,2025-01-02 22:00:00+00:00,2025-01-02 22:00:00+00:00,2025-01-02 21:33:13+00:00,Lower Mainland,49.03983,-122.315001,200150,2.889612879251643,ABBOTSFORD,ABBOTSFORD,SUBSTATION,IN SERVICE,49.06,-122.29
2533006,2506957.0,1602896846,Qualicum Beach,"East of HOLLYWOOD RD, West of ROAD A , South of SEAWARD WAY",Work being done on our equipment,1141,,2025-01-02 21:33:36+00:00,2025-01-02 23:09:57+00:00,2025-01-02 23:00:00+00:00,2025-01-02 23:00:00+00:00,2025-01-02 22:13:40+00:00,North VI,49.343977,-124.385309,202371,4.256547189287797,QUALICUM,NOT AVAILABLE,SUBSTATION,IN SERVICE,49.33,-124.44
2533010,2506961.0,521980323,Langley,2100 block 224 ST,Equipment failure,2,2025-01-02 23:40:00+00:00,2025-01-02 21:48:20+00:00,2025-01-03 00:50:52+00:00,2025-01-03 00:30:00+00:00,2025-01-03 00:30:00+00:00,2025-01-02 23:39:15+00:00,Lower Mainland,49.040636,-122.605015,200144,6.847888185837065,BALFOUR,NOT AVAILABLE,SUBSTATION,IN SERVICE,49.1,-122.58
2533011,2506962.0,521980323,Abbotsford,2000 block GLADWIN RD,Planned work being done on our equipment,7,2025-01-02 21:55:00+00:00,2025-01-02 21:51:08+00:00,2025-01-02 22:37:45+00:00,2025-01-02 22:15:00+00:00,2025-01-02 22:15:00+00:00,2025-01-02 21:55:47+00:00,Lower Mainland,49.039363,-122.315822,200150,2.96768094662502,ABBOTSFORD,ABBOTSFORD,SUBSTATION,IN SERVICE,49.06,-122.29
2533014,2506965.0,1602964060,Burns Lake,HWY 118 P79,Under investigation,1,2025-01-02 23:30:00+00:00,2025-01-02 21:59:00+00:00,2025-01-03 00:50:52+00:00,,,2025-01-02 23:30:46+00:00,Northern,54.818175,-126.168494,200224,7.164400692047992,BABINE LAKE,NOT AVAILABLE,SUBSTATION,IN SERVICE,54.88,-126.2
2533027,2506978.0,521980323,Port Coquitlam,"South of NICOLA AVE, North of BELFAST AVE, West of FREMONT CON, East of HAWKINS ST",Under investigation,10,2025-01-03 01:00:00+00:00,2025-01-02 23:28:00+00:00,2025-01-03 02:12:19+00:00,,,2025-01-03 00:34:04+00:00,Lower Mainland,49.254004,-122.734547,202218,3.3653776012843646,UNKNOWN202218,PORT COQUITLAM,SUBSTATION,IN SERVICE,49.26,-122.78
2533031,2506982.0,2072041405,Cranbrook,"South of VAN HORNE ST, West of 4TH AVE, East of 3RD AVE, North of 3RD ST",Under investigation,8,2025-01-03 00:25:00+00:00,2025-01-02 23:42:00+00:00,2025-01-03 02:12:19+00:00,2025-01-03 01:25:00+00:00,2025-01-03 01:25:00+00:00,2025-01-03 00:26:42+00:00,Okanagan/Kootenay,49.508378,-115.776632,200320,1.9313173524348315,STEEPLES,CRANBROOK,SUBSTATION,IN SERVICE,49.51,-115.75
2533036,2506987.0,2072041405,Golden,1200 block ALEXANDER DR,Wire down,6,2025-01-03 00:40:00+00:00,2025-01-02 23:58:09+00:00,2025-01-03 02:12:19+00:00,2025-01-03 02:00:00+00:00,2025-01-03 02:00:00+00:00,2025-01-03 00:41:24+00:00,Okanagan/Kootenay,51.290975,-116.956968,200330,0.23708074035205423,GOLDEN,GOLDEN,SUBSTATION,IN SERVICE,51.29,-116.96
2533041,2506992.0,521980323,Coquitlam,2200 block LORRAINE AVE,Under investigation,15,2025-01-03 02:05:00+00:00,2025-01-03 01:38:00+00:00,2025-01-03 04:12:45+00:00,2025-01-03 03:30:00+00:00,2025-01-03 03:30:00+00:00,2025-01-03 02:53:59+00:00,Lower Mainland,49.242278,-122.831148,202056,2.5003937253073674,UNKNOWN202056,COQUITLAM,SUBSTATION,IN SERVICE,49.23,-122.86
2533045,2506996.0,521980323,Langley,20200 block 72B AVE,Under investigation,1,,2025-01-03 02:34:00+00:00,2025-01-03 03:34:01+00:00,,,2025-01-03 02:39:54+00:00,Lower Mainland,49.134579,-122.659569,200008,4.12250887282729,MCLELLAN,NOT AVAILABLE,SUBSTATION,IN SERVICE,49.1,-122.68
2533048,2506999.0,1812901382,Ganges,200 block BAY RIDGE PL,Under investigation,4,2025-01-03 03:55:00+00:00,2025-01-03 02:45:00+00:00,2025-01-03 04:31:10+00:00,2025-01-03 04:15:00+00:00,2025-01-03 04:15:00+00:00,2025-01-03 04:07:33+00:00,South VI,48.754798,-123.391729,200072,10.950774264707993,TRINCOMALI,NOT AVAILABLE,SUBSTATION,IN SERVICE,48.85,-123.43
